Champions	Cost	Set	Star	HP	DPS	AD	AS	AR	MR	SMP	MP	Range
Gragas	3💰	14	⭐	850	32.5	50	0.65	50	50	20	80	1
Gragas	3💰	14	⭐⭐	1530	58.5	90	0.65	50	50	20	80	1
Gragas	3💰	14	⭐⭐⭐	2754	105.3	162	0.65	50	50	20	80	1
Graves	2💰	14	⭐	800	30	50	0.6	55	55	0	2	2
Graves	2💰	14	⭐⭐	1440	54	90	0.6	55	55	0	2	2
Graves	2💰	14	⭐⭐⭐	2592	97.2	162	0.6	55	55	0	2	2
Graves	2💰	14	⭐⭐⭐⭐	4665.6	174.96	291.6	0.6	55	55	0	2	2
Illaoi	2💰	14	⭐	800	36	60	0.6	45	45	0	60	1
Illaoi	2💰	14	⭐⭐	1440	64.8	108	0.6	45	45	0	60	1
Illaoi	2💰	14	⭐⭐⭐	2592	116.64	194.4	0.6	45	45	0	60	1
Illaoi	2💰	14	⭐⭐⭐⭐	4665.6	209.952	349.92	0.6	45	45	0	60	1
Jarvan IV	3💰	14	⭐	850	32.5	50	0.65	50	50	25	75	1
Jarvan IV	3💰	14	⭐⭐	1530	58.5	90	0.65	50	50	25	75	1
Jarvan IV	3💰	14	⭐⭐⭐	2754	105.3	162	0.65	50	50	25	75	1
Jax	1💰	14	⭐	650	33	55	0.6	40	40	20	80	1
Jax	1💰	14	⭐⭐	1170	59.4	99	0.6	40	40	20	80	1
Jax	1💰	14	⭐⭐⭐	2106	106.92	178.2	0.6	40	40	20	80	1
Jax	1💰	14	⭐⭐⭐⭐	3790.8	192.456	320.76	0.6	40	40	20	80	1
Jhin	2💰	14	⭐	550	32.56	44	0.74	20	20	4	74	4
Jhin	2💰	14	⭐⭐	990	58.608	79.2	0.74	20	20	4	74	4
Jhin	2💰	14	⭐⭐⭐	1782	105.4944	142.56	0.74	20	20	4	74	4
Jhin	2💰	14	⭐⭐⭐⭐	3207.6	189.88992	256.608	0.74	20	20	4	74	4
Jinx	3💰	14	⭐	650	38.5	55	0.7	25	25	0	50	4
Jinx	3💰	14	⭐⭐	1170	69.3	99	0.7	25	25	0	50	4
Jinx	3💰	14	⭐⭐⭐	2106	124.74	178.2	0.7	25	25	0	50	4
Kindred	1💰	14	⭐	500	33.6	48	0.7	15	15	0	50	4
Kindred	1💰	14	⭐⭐	900	60.48	86.4	0.7	15	15	0	50	4
Kindred	1💰	14	⭐⭐⭐	1620	108.864	155.52	0.7	15	15	0	50	4
Kindred	1💰	14	⭐⭐⭐⭐	2916	195.9552	279.936	0.7	15	15	0	50	4
Kobuko	5💰	14	⭐	1000	20	20	1	60	60	0	0	1
Kobuko	5💰	14	⭐⭐	1800	36	36	1	60	60	0	0	1
Kobuko	5💰	14	⭐⭐⭐	3240	64.8	64.8	1	60	60	0	0	1
Kog'Maw	1💰	14	⭐	500	35	50	0.7	15	15	0	40	4
Kog'Maw	1💰	14	⭐⭐	900	63	90	0.7	15	15	0	40	4
Kog'Maw	1💰	14	⭐⭐⭐	1620	113.4	162	0.7	15	15	0	40	4
Kog'Maw	1💰	14	⭐⭐⭐⭐	2916	204.12	291.6	0.7	15	15	0	40	4
LeBlanc	2💰	14	⭐	550	26.25	35	0.75	20	20	0	50	4
LeBlanc	2💰	14	⭐⭐	990	47.25	63	0.75	20	20	0	50	4
LeBlanc	2💰	14	⭐⭐⭐	1782	85.05	113.4	0.75	20	20	0	50	4
LeBlanc	2💰	14	⭐⭐⭐⭐	3207.6	153.09	204.12	0.75	20	20	0	50	4
Leona	4💰	14	⭐	1100	36	60	0.6	60	60	50	110	1
Leona	4💰	14	⭐⭐	1980	64.8	108	0.6	60	60	50	110	1
Leona	4💰	14	⭐⭐⭐	3564	116.64	194.4	0.6	60	60	50	110	1
Miss Fortune	4💰	14	⭐	800	37.5	50	0.75	30	30	50	150	4
Miss Fortune	4💰	14	⭐⭐	1440	67.5	90	0.75	30	30	50	150	4
Miss Fortune	4💰	14	⭐⭐⭐	2592	121.5	162	0.75	30	30	50	150	4
Mordekaiser	3💰	14	⭐	850	30	50	0.6	50	50	30	80	1
Mordekaiser	3💰	14	⭐⭐	1530	54	90	0.6	50	50	30	80	1
Mordekaiser	3💰	14	⭐⭐⭐	2754	97.2	162	0.6	50	50	30	80	1
Morgana	1💰	14	⭐	500	21	30	0.7	15	15	0	40	4
Morgana	1💰	14	⭐⭐	900	37.8	54	0.7	15	15	0	40	4
Morgana	1💰	14	⭐⭐⭐	1620	68.04	97.2	0.7	15	15	0	40	4
Morgana	1💰	14	⭐⭐⭐⭐	2916	122.472	174.96	0.7	15	15	0	40	4
Naafiri	2💰	14	⭐	700	41.6	52	0.8	45	45	0	50	1
Naafiri	2💰	14	⭐⭐	1260	74.88	93.6	0.8	45	45	0	50	1
Naafiri	2💰	14	⭐⭐⭐	2268	134.784	168.48	0.8	45	45	0	50	1
Naafiri	2💰	14	⭐⭐⭐⭐	4082.4	242.6112	303.264	0.8	45	45	0	50	1
Neeko	4💰	14	⭐	1000	39	60	0.65	60	60	35	85	1
Neeko	4💰	14	⭐⭐	1800	70.2	108	0.65	60	60	35	85	1
Neeko	4💰	14	⭐⭐⭐	3240	126.36	194.4	0.65	60	60	35	85	1
Nidalee	1💰	14	⭐	650	30	40	0.75	40	40	20	60	1
Nidalee	1💰	14	⭐⭐	1170	54	72	0.75	40	40	20	60	1
Nidalee	1💰	14	⭐⭐⭐	2106	97.2	129.6	0.75	40	40	20	60	1
Nidalee	1💰	14	⭐⭐⭐⭐	3790.8	174.96	233.28	0.75	40	40	20	60	1
Poppy	1💰	14	⭐	650	33	60	0.55	40	40	20	70	1
Poppy	1💰	14	⭐⭐	1170	59.4	108	0.55	40	40	20	70	1
Poppy	1💰	14	⭐⭐⭐	2106	106.92	194.4	0.55	40	40	20	70	1
Poppy	1💰	14	⭐⭐⭐⭐	3790.8	192.456	349.92	0.55	40	40	20	70	1
Renekton	5💰	14	⭐	1000	60.06	66	0.91	60	60	70	150	1
Renekton	5💰	14	⭐⭐	1800	108.108	118.8	0.91	60	60	70	150	1
Renekton	5💰	14	⭐⭐⭐	3240	194.5944	213.84	0.91	60	60	70	150	1
Rengar	3💰	14	⭐	750	52	65	0.8	50	50	0	60	1
Rengar	3💰	14	⭐⭐	1350	93.6	117	0.8	50	50	0	60	1
Rengar	3💰	14	⭐⭐⭐	2430	168.48	210.6	0.8	50	50	0	60	1
Rhaast	2💰	14	⭐	700	45	60	0.75	40	40	40	80	1
Rhaast	2💰	14	⭐⭐	1260	81	108	0.75	40	40	40	80	1
Rhaast	2💰	14	⭐⭐⭐	2268	145.8	194.4	0.75	40	40	40	80	1
Rhaast	2💰	14	⭐⭐⭐⭐	4082.4	262.44	349.92	0.75	40	40	40	80	1
Samira	5💰	14	⭐	900	56	70	0.8	50	50	20	100	4
Samira	5💰	14	⭐⭐	1620	100.8	126	0.8	50	50	20	100	4
Samira	5💰	14	⭐⭐⭐	2916	181.44	226.8	0.8	50	50	20	100	4
Sejuani	4💰	14	⭐	1000	36	60	0.6	60	60	50	140	1
Sejuani	4💰	14	⭐⭐	1800	64.8	108	0.6	60	60	50	140	1
Sejuani	4💰	14	⭐⭐⭐	3240	116.64	194.4	0.6	60	60	50	140	1
Senna	3💰	14	⭐	700	51	85	0.6	25	25	0	100	4
Senna	3💰	14	⭐⭐	1260	91.8	153	0.6	25	25	0	100	4
Senna	3💰	14	⭐⭐⭐	2268	165.24	275.4	0.6	25	25	0	100	4
Seraphine	1💰	14	⭐	550	21	30	0.7	15	15	0	60	4
Seraphine	1💰	14	⭐⭐	990	37.8	54	0.7	15	15	0	60	4
Seraphine	1💰	14	⭐⭐⭐	1782	68.04	97.2	0.7	15	15	0	60	4
Seraphine	1💰	14	⭐⭐⭐⭐	3207.6	122.472	174.96	0.7	15	15	0	60	4
Shaco	1💰	14	⭐	600	44	55	0.8	40	40	0	50	1
Shaco	1💰	14	⭐⭐	1080	79.2	99	0.8	40	40	0	50	1
Shaco	1💰	14	⭐⭐⭐	1944	142.56	178.2	0.8	40	40	0	50	1
Shaco	1💰	14	⭐⭐⭐⭐	3499.2	256.608	320.76	0.8	40	40	0	50	1
Shyvana	2💰	14	⭐	1000	112	140	0.8	70	70	30	60	1
Shyvana	2💰	14	⭐⭐	1800	201.6	252	0.8	70	70	30	60	1
Shyvana	2💰	14	⭐⭐⭐	3240	362.88	453.6	0.8	70	70	30	60	1
Shyvana	2💰	14	⭐⭐⭐⭐	5832	653.184	816.48	0.8	70	70	30	60	1
Skarner	2💰	14	⭐	800	30	50	0.6	50	50	25	80	1
Skarner	2💰	14	⭐⭐	1440	54	90	0.6	50	50	25	80	1
Skarner	2💰	14	⭐⭐⭐	2592	97.2	162	0.6	50	50	25	80	1
Skarner	2💰	14	⭐⭐⭐⭐	4665.6	174.96	291.6	0.6	50	50	25	80	1
Sylas	1💰	14	⭐	650	29.25	45	0.65	40	40	25	75	1
Sylas	1💰	14	⭐⭐	1170	52.65	81	0.65	40	40	25	75	1
Sylas	1💰	14	⭐⭐⭐	2106	94.77	145.8	0.65	40	40	25	75	1
Sylas	1💰	14	⭐⭐⭐⭐	3790.8	170.586	262.44	0.65	40	40	25	75	1
Twisted Fate	2💰	14	⭐	600	26.25	35	0.75	20	20	10	70	4
Twisted Fate	2💰	14	⭐⭐	1080	47.25	63	0.75	20	20	10	70	4
Twisted Fate	2💰	14	⭐⭐⭐	1944	85.05	113.4	0.75	20	20	10	70	4
Twisted Fate	2💰	14	⭐⭐⭐⭐	3499.2	153.09	204.12	0.75	20	20	10	70	4
Urgot	5💰	14	⭐	850	56.1	66	0.85	40	40	0	40	4
Urgot	5💰	14	⭐⭐	1530	100.98	118.8	0.85	40	40	0	40	4
Urgot	5💰	14	⭐⭐⭐	2754	181.764	213.84	0.85	40	40	0	40	4
Varus	3💰	14	⭐	700	26.25	35	0.75	25	25	15	75	4
Varus	3💰	14	⭐⭐	1260	47.25	63	0.75	25	25	15	75	4
Varus	3💰	14	⭐⭐⭐	2268	85.05	113.4	0.75	25	25	15	75	4
Vayne	2💰	14	⭐	550	45	60	0.75	25	25	30	90	4
Vayne	2💰	14	⭐⭐	990	81	108	0.75	25	25	30	90	4
Vayne	2💰	14	⭐⭐⭐	1782	145.8	194.4	0.75	25	25	30	90	4
Vayne	2💰	14	⭐⭐⭐⭐	3207.6	262.44	349.92	0.75	25	25	30	90	4
Veigar	2💰	14	⭐	550	24.5	35	0.7	20	20	0	40	4
Veigar	2💰	14	⭐⭐	990	44.1	63	0.7	20	20	0	40	4
Veigar	2💰	14	⭐⭐⭐	1782	79.38	113.4	0.7	20	20	0	40	4
Veigar	2💰	14	⭐⭐⭐⭐	3207.6	142.884	204.12	0.7	20	20	0	40	4
Vex	4💰	14	⭐	800	24	30	0.8	30	30	0	30	4
Vex	4💰	14	⭐⭐	1440	43.2	54	0.8	30	30	0	30	4
Vex	4💰	14	⭐⭐⭐	2592	77.76	97.2	0.8	30	30	0	30	4
Vi	1💰	14	⭐	650	33	55	0.6	40	40	30	85	1
Vi	1💰	14	⭐⭐	1170	59.4	99	0.6	40	40	30	85	1
Vi	1💰	14	⭐⭐⭐	2106	106.92	178.2	0.6	40	40	30	85	1
Vi	1💰	14	⭐⭐⭐⭐	3790.8	192.456	320.76	0.6	40	40	30	85	1
Viego	5💰	14	⭐	1100	54	60	0.9	60	60	25	65	1
Viego	5💰	14	⭐⭐	1980	97.2	108	0.9	60	60	25	65	1
Viego	5💰	14	⭐⭐⭐	3564	174.96	194.4	0.9	60	60	25	65	1
Xayah	4💰	14	⭐	800	52	65	0.8	30	30	25	75	4
Xayah	4💰	14	⭐⭐	1440	93.6	117	0.8	30	30	25	75	4
Xayah	4💰	14	⭐⭐⭐	2592	168.48	210.6	0.8	30	30	25	75	4
Yuumi	3💰	14	⭐	650	26.25	35	0.75	25	25	0	30	4
Yuumi	3💰	14	⭐⭐	1170	47.25	63	0.75	25	25	0	30	4
Yuumi	3💰	14	⭐⭐⭐	2106	85.05	113.4	0.75	25	25	0	30	4
Zac	5💰	14	⭐	900	45	60	0.75	40	40	30	100	1
Zac	5💰	14	⭐⭐	1620	81	108	0.75	40	40	30	100	1
Zac	5💰	14	⭐⭐⭐	2916	145.8	194.4	0.75	40	40	30	100	1
Zed	4💰	14	⭐	1050	47.5	50	0.95	65	65	30	50	1
Zed	4💰	14	⭐⭐	1890	85.5	90	0.95	65	65	30	50	1
Zed	4💰	14	⭐⭐⭐	3402	153.9	162	0.95	65	65	30	50	1
Zeri	4💰	14	⭐	800	48.75	65	0.75	30	30	0	40	5
Zeri	4💰	14	⭐⭐	1440	87.75	117	0.75	30	30	0	40	5
Zeri	4💰	14	⭐⭐⭐	2592	157.95	210.6	0.75	30	30	0	40	5
Ziggs	4💰	14	⭐	850	30	40	0.75	30	30	25	70	4
Ziggs	4💰	14	⭐⭐	1530	54	72	0.75	30	30	25	70	4
Ziggs	4💰	14	⭐⭐⭐	2754	97.2	129.6	0.75	30	30	25	70	4
Zyra	1💰	14	⭐	500	21	30	0.7	15	15	10	60	4
Zyra	1💰	14	⭐⭐	900	37.8	54	0.7	15	15	10	60	4
Zyra	1💰	14	⭐⭐⭐	1620	68.04	97.2	0.7	15	15	10	60	4
Zyra	1💰	14	⭐⭐⭐⭐	2916	122.472	174.96	0.7	15	15	10	60	4
